TrialNumber,Partner,Condition,Photos,Feedback,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,syncing_text.stopped,Transparent.stopped,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,13.991687207992072,13.991687207992072,space,0.7912191669893218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hjb,",001,2023-11-01_12h06.03.372,RejectionTask_OneLoop_Socicl_Experiences_NewNew,2022.2.1,None,
,,,,,,,,,,,,,,,,,14.801243416994112,14.801243416994112,space,0.1845494589942973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hjb,",001,2023-11-01_12h06.03.372,RejectionTask_OneLoop_Socicl_Experiences_NewNew,2022.2.1,None,
1,Riley,Rej,Participant_Images/101_Image_1.jpg,liked,0,0,0,0,,,,,,,,,,,,,15.025158249991364,18.01218424999388,18.01218424999388,18.01218424999388,18.024702832990442,19.256538000001456,19.256538000001456,19.256538000001456,20.508015207989956,20.508015207989956,20.508015207989956,20.508015207989956,21.745164791995194,21.745164791995194,21.758009041994228,21.758009041994228,23.008108291993267,23.008108291993267,23.013766042000498,23.013766042000498,24.28409695799928,24.28409695799928,24.28409695799928,24.28409695799928,24.28409695799928,24.28409695799928,24.28409695799928,24.28409695799928,space,2.733314875003998,27.27618524999707,27.27618524999707,27.27618524999707,30.04485858300177,35.14644733299792,35.14644733299792,38.041899624993675,38.041899624993675,space,26.660810083994875,3,None,5,None,"hjb,",001,2023-11-01_12h06.03.372,RejectionTask_OneLoop_Socicl_Experiences_NewNew,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,64.91375733299355,64.91375733299355,64.91375733299355,,,,,,,,,,,,,,,,,,
