endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,3.5272,NAN,,NAN,0.18,5.82,,0,13,13,13,1,14,Alex,Acc,Participant_Images/101/101_Images/101_Image_21.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,space,0.8296,space,0.3348,0.01,1,0.8361,0,0,0,0,1,three_1,three_1,0,4,0.01,0.01,green,0,1,1,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,6.833,0,1,1,1,1,three_2,three_2,0,5,0.02,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,0.3583,0,2,2,2,1,three_3,three_3,0,6,0.03,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,1.7322,0,3,3,3,1,three_4,three_4,0,1,0.04,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,1.5093,0,4,4,4,1,three_5,three_5,0,2,0.05,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,NAN,,NAN,0.32,5.68,,0,14,14,14,1,15,Alex,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,109.9731,NAN,,NAN,0.32,5.68,,0,15,15,15,1,16,Alex,Acc,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,0.3894,NAN,,NAN,0.32,5.68,,0,16,16,16,1,17,Alex,Acc,Participant_Images/101/101_Images/101_Image_23.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,2.861,NAN,,NAN,0.32,5.68,,0,17,17,17,1,18,Alex,Acc,Participant_Images/101/101_Images/101_Image_16.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,,,,,,,,
