endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Resume_keys.keys,Resume_keys.rt,key_resp.rt
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2,3.9684,0,3,3,3,1,two_4,two_4,0,4,0.04,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,two_5,two_5,0,3,0.05,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,NAN,,NAN,0.11,5.89,,0,9,9,9,1,10,Alex,Acc,Participant_Images/101/101_Images/101_Image_7.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,8.8077,NAN,,NAN,0.11,5.89,,0,10,10,10,1,11,Alex,Acc,Participant_Images/101/101_Images/101_Image_10.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,41.3532,NAN,,NAN,0.11,5.89,,0,11,11,11,1,12,Alex,Acc,Participant_Images/101/101_Images/101_Image_20.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,29.0334,NAN,,NAN,0.11,5.89,,0,12,12,12,1,13,Alex,Acc,Participant_Images/101/101_Images/101_Image_14.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,2.3463,NAN,,NAN,0.11,5.89,,0,13,13,13,1,14,Alex,Acc,Participant_Images/101/101_Images/101_Image_21.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,space,1.7574,space,0.4169,0.01,1,0.6297,0,0,0,0,1,three_1,three_1,0,4,0.01,0.01,green,0,1,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,three_2,three_2,0,5,0.02,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,three_3,three_3,0,6,0.03,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,three_4,three_4,0,1,0.04,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,three_5,three_5,0,2,0.05,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,NAN,,NAN,0.12,5.88,,0,14,14,14,1,15,Alex,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,294.2798,NAN,,NAN,0.12,5.88,,0,15,15,15,1,16,Alex,Acc,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,1.9083,NAN,,NAN,0.12,5.88,,0,16,16,16,1,17,Alex,Acc,Participant_Images/101/101_Images/101_Image_23.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,9.3072,NAN,,NAN,0.12,5.88,,0,17,17,17,1,18,Alex,Acc,Participant_Images/101/101_Images/101_Image_16.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,1.2927,NAN,,NAN,0.12,5.88,,0,18,18,18,1,19,Alex,Acc,Participant_Images/101/101_Images/101_Image_22.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,space,1.2809,space,0.3338,0.01,1,1.0581,0,0,0,0,1,four_1,four_1,0,5,0.01,0.02,green,0,0,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,four_2,four_2,0,1,0.02,0.02,green,0,1,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,four_3,four_3,0,2,0.03,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,four_4,four_4,0,4,0.04,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,four_5,four_5,0,3,0.05,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,NAN,,NAN,0.13,5.87,,0,19,19,19,1,20,Alex,Acc,Participant_Images/101/101_Images/101_Image_12.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,206.5509,NAN,,NAN,0.13,5.87,,0,20,20,20,1,21,Alex,Acc,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,4.106391878,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,6.7038,NAN,,NAN,0.13,5.87,,0,21,21,21,1,22,Alex,Acc,Participant_Images/101/101_Images/101_Image_19.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,16.2065,NAN,,NAN,0.13,5.87,,0,22,22,22,1,23,Alex,Acc,Participant_Images/101/101_Images/101_Image_18.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,1.1012,NAN,,NAN,0.13,5.87,,0,23,23,23,1,24,Alex,Acc,Participant_Images/101/101_Images/101_Image_6.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,,,,,,
