TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Riley,Acc,Participant_Images/101/101_Images/101_Image_16.jpg,did not like,3.613205605
2,Riley,Acc,Participant_Images/101/101_Images/101_Image_30.jpg,liked,4.988446431
3,Riley,Acc,Participant_Images/101/101_Images/101_Image_14.jpg,did not like,3.470791822
4,Riley,Acc,Participant_Images/101/101_Images/101_Image_27.jpg,did not like,3.820572462
5,Riley,Acc,Participant_Images/101/101_Images/101_Image_24.jpg,liked,2.455989137
6,Riley,Acc,Participant_Images/101/101_Images/101_Image_3.jpg,liked,3.79605092
7,Riley,Acc,Participant_Images/101/101_Images/101_Image_13.jpg,liked,3.562416326
8,Riley,Acc,Participant_Images/101/101_Images/101_Image_5.jpg,liked,2.843822497
9,Riley,Acc,Participant_Images/101/101_Images/101_Image_29.jpg,liked,3.546495948
10,Riley,Acc,Participant_Images/101/101_Images/101_Image_17.jpg,did not like,1.672012706
11,Riley,Acc,Participant_Images/101/101_Images/101_Image_26.jpg,liked,4.942172136
12,Riley,Acc,Participant_Images/101/101_Images/101_Image_18.jpg,liked,2.50187214
13,Riley,Acc,Participant_Images/101/101_Images/101_Image_15.jpg,liked,2.071164779
14,Riley,Acc,Participant_Images/101/101_Images/101_Image_2.jpg,liked,5.336503566
15,Riley,Acc,Participant_Images/101/101_Images/101_Image_7.jpg,liked,2.642157193
16,Riley,Acc,Participant_Images/101/101_Images/101_Image_23.jpg,did not like,4.456234322
17,Riley,Acc,Participant_Images/101/101_Images/101_Image_28.jpg,did not like,4.438512181
18,Riley,Acc,Participant_Images/101/101_Images/101_Image_21.jpg,liked,2.682944783
19,Riley,Acc,Participant_Images/101/101_Images/101_Image_8.jpg,did not like,4.51984296
20,Riley,Acc,Participant_Images/101/101_Images/101_Image_12.jpg,liked,3.195382774
21,Riley,Acc,Participant_Images/101/101_Images/101_Image_20.jpg,liked,1.779333479
22,Riley,Acc,Participant_Images/101/101_Images/101_Image_25.jpg,liked,4.312468682
23,Riley,Acc,Participant_Images/101/101_Images/101_Image_10.jpg,liked,4.940433059
24,Riley,Acc,Participant_Images/101/101_Images/101_Image_1.jpg,did not like,2.7105123
25,Riley,Acc,Participant_Images/101/101_Images/101_Image_11.jpg,liked,3.602308302
26,Riley,Acc,Participant_Images/101/101_Images/101_Image_19.jpg,liked,4.106391878
27,Riley,Acc,Participant_Images/101/101_Images/101_Image_4.jpg,did not like,3.799433026
28,Riley,Acc,Participant_Images/101/101_Images/101_Image_22.jpg,liked,5.246980764
29,Riley,Acc,Participant_Images/101/101_Images/101_Image_6.jpg,liked,3.30081769
30,Riley,Acc,Participant_Images/101/101_Images/101_Image_9.jpg,liked,1.661473164
31,Sam,Rej,Participant_Images/101/101_Images/101_Image_15.jpg,did not like,3.613205605
32,Sam,Rej,Participant_Images/101/101_Images/101_Image_26.jpg,did not like,4.988446431
33,Sam,Rej,Participant_Images/101/101_Images/101_Image_8.jpg,did not like,3.470791822
34,Sam,Rej,Participant_Images/101/101_Images/101_Image_23.jpg,did not like,3.820572462
35,Sam,Rej,Participant_Images/101/101_Images/101_Image_14.jpg,liked,2.455989137
36,Sam,Rej,Participant_Images/101/101_Images/101_Image_21.jpg,did not like,3.79605092
37,Sam,Rej,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.562416326
38,Sam,Rej,Participant_Images/101/101_Images/101_Image_22.jpg,liked,2.843822497
39,Sam,Rej,Participant_Images/101/101_Images/101_Image_3.jpg,did not like,3.546495948
40,Sam,Rej,Participant_Images/101/101_Images/101_Image_28.jpg,liked,1.672012706
41,Sam,Rej,Participant_Images/101/101_Images/101_Image_25.jpg,liked,4.942172136
42,Sam,Rej,Participant_Images/101/101_Images/101_Image_20.jpg,did not like,2.50187214
43,Sam,Rej,Participant_Images/101/101_Images/101_Image_6.jpg,did not like,2.071164779
44,Sam,Rej,Participant_Images/101/101_Images/101_Image_10.jpg,liked,5.336503566
45,Sam,Rej,Participant_Images/101/101_Images/101_Image_11.jpg,did not like,2.642157193
46,Sam,Rej,Participant_Images/101/101_Images/101_Image_17.jpg,did not like,4.456234322
47,Sam,Rej,Participant_Images/101/101_Images/101_Image_12.jpg,did not like,4.438512181
48,Sam,Rej,Participant_Images/101/101_Images/101_Image_24.jpg,liked,2.682944783
49,Sam,Rej,Participant_Images/101/101_Images/101_Image_2.jpg,did not like,4.51984296
50,Sam,Rej,Participant_Images/101/101_Images/101_Image_5.jpg,liked,3.195382774
51,Sam,Rej,Participant_Images/101/101_Images/101_Image_4.jpg,did not like,1.779333479
52,Sam,Rej,Participant_Images/101/101_Images/101_Image_29.jpg,did not like,4.312468682
53,Sam,Rej,Participant_Images/101/101_Images/101_Image_18.jpg,did not like,4.940433059
54,Sam,Rej,Participant_Images/101/101_Images/101_Image_16.jpg,did not like,2.7105123
55,Sam,Rej,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,3.602308302
56,Sam,Rej,Participant_Images/101/101_Images/101_Image_30.jpg,did not like,4.106391878
57,Sam,Rej,Participant_Images/101/101_Images/101_Image_19.jpg,did not like,3.799433026
58,Sam,Rej,Participant_Images/101/101_Images/101_Image_27.jpg,did not like,5.246980764
59,Sam,Rej,Participant_Images/101/101_Images/101_Image_13.jpg,liked,3.30081769
60,Sam,Rej,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,1.661473164
61,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_27.jpg,liked,3.613205605
62,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_18.jpg,did not like,4.988446431
63,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_8.jpg,did not like,3.470791822
64,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_17.jpg,did not like,3.820572462
65,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_16.jpg,did not like,2.455989137
66,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_6.jpg,did not like,3.79605092
67,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_5.jpg,liked,3.562416326
68,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_11.jpg,liked,2.843822497
69,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,did not like,3.546495948
70,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_23.jpg,did not like,1.672012706
71,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,4.942172136
72,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_10.jpg,liked,2.50187214
73,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_12.jpg,did not like,2.071164779
74,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,5.336503566
75,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,2.642157193
76,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,liked,4.456234322
77,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_20.jpg,liked,4.438512181
78,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_29.jpg,liked,2.682944783
79,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_15.jpg,did not like,4.51984296
80,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_19.jpg,liked,3.195382774
81,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,1.779333479
82,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_22.jpg,liked,4.312468682
83,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_26.jpg,did not like,4.940433059
84,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_13.jpg,liked,2.7105123
85,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_21.jpg,liked,3.602308302
86,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_2.jpg,did not like,4.106391878
87,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_25.jpg,did not like,3.799433026
88,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_30.jpg,liked,5.246980764
89,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_14.jpg,liked,3.30081769
90,Taylor,Neutral,Participant_Images/101/101_Images/101_Image_28.jpg,did not like,1.661473164
91,Alex,Rej,Participant_Images/101/101_Images/101_Image_9.jpg,liked,3.613205605
92,Alex,Rej,Participant_Images/101/101_Images/101_Image_26.jpg,did not like,4.988446431
93,Alex,Rej,Participant_Images/101/101_Images/101_Image_20.jpg,did not like,3.470791822
94,Alex,Rej,Participant_Images/101/101_Images/101_Image_11.jpg,liked,3.820572462
95,Alex,Rej,Participant_Images/101/101_Images/101_Image_2.jpg,did not like,2.455989137
96,Alex,Rej,Participant_Images/101/101_Images/101_Image_5.jpg,did not like,3.79605092
97,Alex,Rej,Participant_Images/101/101_Images/101_Image_1.jpg,did not like,3.562416326
98,Alex,Rej,Participant_Images/101/101_Images/101_Image_19.jpg,did not like,2.843822497
99,Alex,Rej,Participant_Images/101/101_Images/101_Image_6.jpg,did not like,3.546495948
100,Alex,Rej,Participant_Images/101/101_Images/101_Image_30.jpg,did not like,1.672012706
101,Alex,Rej,Participant_Images/101/101_Images/101_Image_12.jpg,did not like,4.942172136
102,Alex,Rej,Participant_Images/101/101_Images/101_Image_27.jpg,did not like,2.50187214
103,Alex,Rej,Participant_Images/101/101_Images/101_Image_14.jpg,liked,2.071164779
104,Alex,Rej,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,5.336503566
105,Alex,Rej,Participant_Images/101/101_Images/101_Image_13.jpg,did not like,2.642157193
106,Alex,Rej,Participant_Images/101/101_Images/101_Image_16.jpg,liked,4.456234322
107,Alex,Rej,Participant_Images/101/101_Images/101_Image_8.jpg,did not like,4.438512181
108,Alex,Rej,Participant_Images/101/101_Images/101_Image_21.jpg,did not like,2.682944783
109,Alex,Rej,Participant_Images/101/101_Images/101_Image_10.jpg,liked,4.51984296
110,Alex,Rej,Participant_Images/101/101_Images/101_Image_22.jpg,did not like,3.195382774
111,Alex,Rej,Participant_Images/101/101_Images/101_Image_17.jpg,did not like,1.779333479
112,Alex,Rej,Participant_Images/101/101_Images/101_Image_25.jpg,did not like,4.312468682
113,Alex,Rej,Participant_Images/101/101_Images/101_Image_28.jpg,liked,4.940433059
114,Alex,Rej,Participant_Images/101/101_Images/101_Image_23.jpg,did not like,2.7105123
115,Alex,Rej,Participant_Images/101/101_Images/101_Image_4.jpg,did not like,3.602308302
116,Alex,Rej,Participant_Images/101/101_Images/101_Image_24.jpg,liked,4.106391878
117,Alex,Rej,Participant_Images/101/101_Images/101_Image_3.jpg,liked,3.799433026
118,Alex,Rej,Participant_Images/101/101_Images/101_Image_18.jpg,did not like,5.246980764
119,Alex,Rej,Participant_Images/101/101_Images/101_Image_29.jpg,did not like,3.30081769
120,Alex,Rej,Participant_Images/101/101_Images/101_Image_15.jpg,liked,1.661473164
121,Charlie,Acc,Participant_Images/101/101_Images/101_Image_11.jpg,did not like,3.613205605
122,Charlie,Acc,Participant_Images/101/101_Images/101_Image_18.jpg,liked,4.988446431
123,Charlie,Acc,Participant_Images/101/101_Images/101_Image_24.jpg,liked,3.470791822
124,Charlie,Acc,Participant_Images/101/101_Images/101_Image_25.jpg,liked,3.820572462
125,Charlie,Acc,Participant_Images/101/101_Images/101_Image_30.jpg,liked,2.455989137
126,Charlie,Acc,Participant_Images/101/101_Images/101_Image_20.jpg,did not like,3.79605092
127,Charlie,Acc,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,3.562416326
128,Charlie,Acc,Participant_Images/101/101_Images/101_Image_14.jpg,liked,2.843822497
129,Charlie,Acc,Participant_Images/101/101_Images/101_Image_10.jpg,did not like,3.546495948
130,Charlie,Acc,Participant_Images/101/101_Images/101_Image_3.jpg,liked,1.672012706
131,Charlie,Acc,Participant_Images/101/101_Images/101_Image_27.jpg,did not like,4.942172136
132,Charlie,Acc,Participant_Images/101/101_Images/101_Image_5.jpg,liked,2.50187214
133,Charlie,Acc,Participant_Images/101/101_Images/101_Image_13.jpg,did not like,2.071164779
